🚀 広告管理システム デモサーバーが起動しました！
📱 ブラウザでアクセス: http://localhost:8080
📊 ダッシュボード: http://localhost:8080/dashboard
🔌 API: http://localhost:8080/api/dashboard/data

⏹️  停止するには Ctrl+C を押してください
2025-09-22T05:38:46.172Z - GET /api/dashboard/quick-stats
2025-09-22T05:39:12.874Z - GET /
2025-09-22T05:39:13.012Z - GET /admin/assets/css/admin.css
2025-09-22T05:39:13.014Z - GET /admin/assets/js/dashboard.js
2025-09-22T05:39:13.173Z - GET /api/dashboard/data
2025-09-22T05:39:13.280Z - GET /favicon.ico
2025-09-22T05:39:13.431Z - GET /admin/assets/js/dashboard.js
2025-09-22T05:39:22.805Z - GET /api/dashboard/data
2025-09-22T05:39:27.280Z - GET /api/dashboard/data
2025-09-22T05:41:29.221Z - GET /api/dashboard/data
2025-09-22T05:41:32.312Z - GET /api/dashboard/data
